Offset;Normal Form;Pitch-classes;Scale degrees;Highest pitch;Lowest pitch;Slice_Number;Measure;Chord;Segment_Number;Quality
0;[0, 5];[8, 1];[7, 0];44;37;0;1; C#2 G#2;1;Dt
0,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];61;37;1;1; F#3 B-3 C#4 C#2 G#2;1;Dt
1;[0, 1, 5, 8];[0, 1, 5, 8];[11, 0, 4, 7];68;37;2;1; C4 F4 G#4 C#2 G#2;1;Dt
1,5;[0, 2, 5, 7];[8, 10, 1, 3];[7, 9, 0, 2];63;37;3;1; B-3 C#4 E-4 C#2 G#2;1;Dt
2;[0, 5];[8, 1];[7, 0];68;37;4;1; G#4 C#2 G#2;1;Dt
2,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;37;5;1; F#4 B-4 C#5 C#2 G#2 G#4;1;Dt
3;[0, 1, 5, 8];[0, 1, 5, 8];[11, 0, 4, 7];80;37;6;1; C5 F5 G#5 C#2 G#2 G#4;1;Dt
3,5;[0, 2, 5, 7];[8, 10, 1, 3];[7, 9, 0, 2];75;37;7;1; B-4 C#5 E-5 C#2 G#2 G#4;1;Dt
4;[0, 1, 5, 8];[5, 6, 10, 1];[4, 5, 9, 0];85;65;8;2; F#5 B-5 C#6 F4;1;Dt
4,5;[0, 3, 7];[5, 8, 0];[4, 7, 11];92;65;9;2; C6 F6 G#6 F4;1;Dt
5;[0, 3, 5, 7];[10, 1, 3, 5];[9, 0, 2, 4];87;65;10;2; B-5 C#6 E-6 F4;1;Dt
5,5;[0, 3, 7];[5, 8, 0];[4, 7, 11];80;65;11;2; C5 F5 G#5 F4;1;Dt
6;[0, 3, 5];[10, 1, 3];[9, 0, 2];75;63;12;2; B-4 C#5 E-5 E-4;1;Dt
6,5;[0, 3, 5, 8];[0, 3, 5, 8];[11, 2, 4, 7];68;60;13;2; C4 F4 G#4 E-4;1;Dt
7;[0, 3, 5];[10, 1, 3];[9, 0, 2];63;58;14;2; B-3 C#4 E-4;1;Dt
7,5;[0, 3, 5];[3, 6, 8];[2, 5, 7];63;44;15;2; F#3 G#2 E-4;1;Dt
8;[0, 5];[8, 1];[7, 0];44;37;16;3; C#2 G#2;1;Dt
8,5;[0, 2, 4, 7];[1, 3, 5, 8];[0, 2, 4, 7];63;37;17;3; F3 G#3 E-4 C#2 G#2;1;Dt
9;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];70;37;18;3; C#4 F4 B-4 C#2 G#2;1;Dt
9,5;[0, 1, 3, 5, 8];[0, 1, 3, 5, 8];[11, 0, 2, 4, 7];65;37;19;3; C4 E-4 F4 C#2 G#2;1;Dt
10;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];65;37;20;3; B-3 C#4 F4 C#2 G#2;1;Dt
10,5;[0, 2, 4, 7];[1, 3, 5, 8];[0, 2, 4, 7];75;37;21;3; F4 G#4 E-5 C#2 G#2;1;Dt
11;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];82;37;22;3; C#5 F5 B-5 C#2 G#2;1;Dt
11,5;[0, 1, 3, 5, 8];[0, 1, 3, 5, 8];[11, 0, 2, 4, 7];77;37;23;3; C5 E-5 F5 C#2 G#2;1;Dt
12;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;24;4; B-4 C#5 F5;1;Dt
12,5;[0, 2, 4, 7, 9];[1, 3, 5, 8, 10];[0, 2, 4, 7, 9];87;70;25;4; F5 G#5 E-6 B-4 C#5;2;Dt
13;[0, 3, 7];[10, 1, 5];[9, 0, 4];94;70;26;4; C#6 F6 B-6 B-4 C#5 F5;2;Dt
13,5;[0, 2, 3, 5, 7];[10, 0, 1, 3, 5];[9, 11, 0, 2, 4];89;70;27;4; C6 E-6 F6 B-4 C#5 F5;2;Dt
14;[0, 3, 7];[10, 1, 5];[9, 0, 4];89;70;28;4; B-5 C#6 F6 B-4 C#5 F5;2;Dt
14,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];85;70;29;4; F5 B-5 C#6 B-4 C#5;2;Dt
15;[0, 3, 7];[10, 1, 5];[9, 0, 4];82;73;30;4; C#5 F5 B-5;2;Dt
15,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;31;4; B-4 C#5 F5;2;Dt
16;[0];[8];[7];44;44;32;5; G#2;2;Dt
16,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];61;44;33;5; F#3 B-3 C#4 G#2;2;Dt
17;[0, 1, 5, 8];[0, 1, 5, 8];[11, 0, 4, 7];68;37;34;5; C4 F4 G#4 C#2 G#2;2;Dt
17,5;[0, 2, 5, 7];[8, 10, 1, 3];[7, 9, 0, 2];63;37;35;5; B-3 C#4 E-4 G#2 C#2;2;Dt
18;[0, 5];[8, 1];[7, 0];68;37;36;5; G#4 C#2;2;Dt
18,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;37;37;5; F#4 B-4 C#5 G#4 C#2;2;Dt
19;[0, 1, 5, 8];[0, 1, 5, 8];[11, 0, 4, 7];80;37;38;5; C5 F5 G#5 G#4 C#2;2;Dt
19,5;[0, 2, 5, 7];[8, 10, 1, 3];[7, 9, 0, 2];75;37;39;5; B-4 C#5 E-5 G#4 C#2;2;Dt
20;[0, 1, 5, 8];[5, 6, 10, 1];[4, 5, 9, 0];85;65;40;6; F#5 B-5 C#6 F4;2;Dt
20,5;[0, 3, 7];[5, 8, 0];[4, 7, 11];92;65;41;6; C6 F6 G#6 F4;2;Dt
21;[0, 3, 5, 7];[10, 1, 3, 5];[9, 0, 2, 4];87;65;42;6; B-5 C#6 E-6 F4;2;Dt
21,5;[0, 3, 7];[5, 8, 0];[4, 7, 11];80;65;43;6; C5 F5 G#5 F4;2;Dt
22;[0, 3, 5];[10, 1, 3];[9, 0, 2];75;63;44;6; B-4 C#5 E-5 E-4;2;Dt
22,5;[0, 3, 5, 8];[0, 3, 5, 8];[11, 2, 4, 7];68;60;45;6; C4 F4 G#4 E-4;2;Dt
23;[0, 3, 5];[10, 1, 3];[9, 0, 2];63;58;46;6; B-3 C#4 E-4;2;Dt
23,5;[0, 3, 5];[3, 6, 8];[2, 5, 7];63;44;47;6; F#3 G#2 E-4;2;Dt
24;[0, 5];[8, 1];[7, 0];44;37;48;7; C#2 G#2;2;Dt
24,5;[0, 2, 4, 7];[1, 3, 5, 8];[0, 2, 4, 7];63;37;49;7; F3 G#3 E-4 C#2 G#2;2;Dt
25;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];70;37;50;7; C#4 F4 B-4 C#2 G#2;2;Dt
25,5;[0, 1, 3, 5, 8];[0, 1, 3, 5, 8];[11, 0, 2, 4, 7];65;37;51;7; C4 E-4 F4 C#2 G#2;2;Dt
26;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];65;37;52;7; B-3 C#4 F4 C#2 G#2;2;Dt
26,5;[0, 2, 4, 7];[1, 3, 5, 8];[0, 2, 4, 7];75;37;53;7; F4 G#4 E-5 C#2 G#2;2;Dt
27;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];82;37;54;7; C#5 F5 B-5 C#2 G#2;2;Dt
27,5;[0, 1, 3, 5, 8];[0, 1, 3, 5, 8];[11, 0, 2, 4, 7];77;37;55;7; C5 E-5 F5 C#2 G#2;2;Dt
28;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;56;8; B-4 C#5 F5;2;Dt
28,5;[0, 2, 4, 7, 9];[1, 3, 5, 8, 10];[0, 2, 4, 7, 9];87;70;57;8; F5 G#5 E-6 B-4 C#5;2;Dt
29;[0, 3, 7];[10, 1, 5];[9, 0, 4];94;70;58;8; C#6 F6 B-6 B-4 C#5 F5;2;Dt
29,5;[0, 2, 3, 5, 7];[10, 0, 1, 3, 5];[9, 11, 0, 2, 4];89;70;59;8; C6 E-6 F6 B-4 C#5 F5;2;Dt
30;[0, 3, 7];[10, 1, 5];[9, 0, 4];89;70;60;8; B-5 C#6 F6 B-4 C#5 F5;2;Dt
30,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];85;70;61;8; F5 B-5 C#6 B-4 C#5;2;Dt
31;[0, 3, 7];[10, 1, 5];[9, 0, 4];82;73;62;8; C#5 F5 B-5;2;Dt
31,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;63;8; B-4 C#5 F5;2;Dt
32,5;[0, 1, 3, 7];[5, 6, 8, 0];[4, 5, 7, 11];65;32;64;9; F#3 C4 F4 G#1 G#2;2;Dt
33;[0, 2, 6, 8];[1, 3, 7, 9];[0, 2, 6, 8];63;33;65;9; G3 C#4 E-4 A1 A2;2;Dt
33,5;[0, 2, 6];[8, 10, 2];[7, 9, 1];70;34;66;9; G#3 D4 B-4 B-1 B-2;2;Dt
34;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];68;35;67;9; A3 E-4 G#4 B1 B2;2;Dt
34,5;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];92;35;68;9; G#6 A3 E-4 G#4 B1 B2;2;Dt
35;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];87;35;69;9; E-6 A3 E-4 G#4 B1 B2;2;Dt
35,5;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];80;35;70;9; G#5 A3 E-4 G#4 B1 B2;2;Dt
36;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];75;35;71;10; E-5 A3 E-4 G#4 B1 B2;2;Dt
36,5;[0, 1, 3, 7];[5, 6, 8, 0];[4, 5, 7, 11];65;32;72;10; F#3 C4 F4 G#1 G#2;2;Dt
37;[0, 2, 6, 8];[1, 3, 7, 9];[0, 2, 6, 8];63;33;73;10; G3 C#4 E-4 A1 A2;2;Dt
37,5;[0, 2, 6];[8, 10, 2];[7, 9, 1];70;34;74;10; G#3 D4 B-4 B-1 B-2;2;Dt
38;[0, 1, 3, 7];[8, 9, 11, 3];[7, 8, 10, 2];68;35;75;10; A3 E-4 G#4 B1 B2;2;Dt
38,5;[0, 2, 6];[10, 0, 4];[9, 11, 3];72;36;76;10; B-3 E4 C5 C2 C3;2;Dt
39;[0, 1, 3, 7];[10, 11, 1, 5];[9, 10, 0, 4];70;37;77;10; B3 F4 B-4 C#2 C#3;2;Dt
39,5;[0, 1, 3, 7];[10, 11, 1, 5];[9, 10, 0, 4];94;37;78;10; B-6 B3 F4 B-4 C#2 C#3;2;Dt
40;[0, 1, 3, 7];[10, 11, 1, 5];[9, 10, 0, 4];89;37;79;11; F6 B3 F4 B-4 C#2 C#3;2;Dt
40,5;[0, 1, 3, 7];[10, 11, 1, 5];[9, 10, 0, 4];82;37;80;11; B-5 B3 F4 B-4 C#2 C#3;2;Dt
41;[0, 1, 3, 7];[10, 11, 1, 5];[9, 10, 0, 4];77;37;81;11; F5 B3 F4 B-4 C#2 C#3;2;Dt
41,5;[0, 1, 3, 7];[10, 11, 1, 5];[9, 10, 0, 4];70;37;82;11; B-4 B3 F4 C#2 C#3;2;Dt
42;[0, 2, 6];[11, 1, 5];[10, 0, 4];65;37;83;11; F4 B3 C#2 C#3;2;Dt
42,5;[0, 3, 5, 8];[10, 1, 3, 6];[9, 0, 2, 5];63;42;84;11; B-3 C#4 E-4 F#2 C#3;2;Dt
43;[0, 1, 3, 5, 7];[5, 6, 8, 10, 0];[4, 5, 7, 9, 11];70;44;85;12; F4 B-4 C4 G#2 F#3;2;Dt
43,5;[0, 1, 3, 5, 7];[5, 6, 8, 10, 0];[4, 5, 7, 9, 11];70;44;86;12; F4 B-4 C4 G#2 F#3;2;Dt
44;[0, 2, 4, 6];[6, 8, 10, 0];[5, 7, 9, 11];70;44;87;12; B-3 B-4 C4 G#2 F#3;2;Dt
44,5;[0, 1, 3, 5, 7];[5, 6, 8, 10, 0];[4, 5, 7, 9, 11];77;44;88;12; C4 B-4 C5 F5 G#2 F#3;2;Dt
45;[0, 2, 4];[6, 8, 10];[5, 7, 9];94;44;89;12; B-6 B-4 G#2 F#3;2;Dt
45,5;[0, 1, 3, 5];[5, 6, 8, 10];[4, 5, 7, 9];89;44;90;12; F6 B-4 G#2 F#3;2;Dt
46;[0, 1, 3, 5, 7];[5, 6, 8, 10, 0];[4, 5, 7, 9, 11];77;44;91;12; B-4 C5 F5 G#2 F#3;2;Dt
46,5;[0, 2, 4];[6, 8, 10];[5, 7, 9];70;44;92;12; B-4 G#2 F#3;2;Dt
47;[0, 2, 4, 7];[10, 0, 2, 5];[9, 11, 1, 4];70;38;93;13; B-4 C4 F4 D2;2;Dt
47,125;[0, 2, 4, 7, 9];[10, 0, 2, 5, 7];[9, 11, 1, 4, 6];70;38;94;13; B-4 C4 F4 G2 F3 D2;2;Dt
47,5;[0, 3, 5, 8];[2, 5, 7, 10];[1, 4, 6, 9];70;38;95;13; D4 B-4 F4 D2 G2 F3;2;Dt
48;[0, 3, 5, 8];[2, 5, 7, 10];[1, 4, 6, 9];70;38;96;13; B-3 B-4 F4 D2 G2 F3;2;Dt
48,5;[0, 2, 4, 7, 9];[10, 0, 2, 5, 7];[9, 11, 1, 4, 6];70;38;97;13; B-4 F4 C4 G4 D2 G2 F3;2;Dt
49;[0, 2, 4, 7, 9];[10, 0, 2, 5, 7];[9, 11, 1, 4, 6];82;38;98;13; F5 B-5 C5 B-4 F4 D2 G2 F3;2;Dt
49,5;[0, 3, 5, 8];[2, 5, 7, 10];[1, 4, 6, 9];82;38;99;13; D5 B-4 F5 B-5 F4 D2 G2 F3;2;Dt
50;[0, 3, 5, 8];[2, 5, 7, 10];[1, 4, 6, 9];82;38;100;13; B-4 F5 B-5 F4 D2 G2 F3;3;T
50,5;[0, 2, 4, 7, 9];[10, 0, 2, 5, 7];[9, 11, 1, 4, 6];82;38;101;13; F5 B-5 F4 C5 G5 D2 G2 F3;3;T
51;[0, 1, 4, 8];[10, 11, 2, 6];[9, 10, 1, 5];70;50;102;14; F#4 B-4 B3 D3;3;T
51,5;[0, 3, 6, 9];[2, 5, 8, 11];[1, 4, 7, 10];68;50;103;14; F4 G#4 B3 D3;3;T
52;[0, 4, 5, 7];[4, 8, 9, 11];[3, 7, 8, 10];68;47;104;14; E4 G#4 A3 B2;3;T
52,5;[0, 3, 6, 8];[3, 6, 9, 11];[2, 5, 8, 10];66;47;105;14; E-4 F#4 A3 B2;3;T
53;[0, 1, 4, 8];[5, 6, 9, 1];[4, 5, 8, 0];65;45;106;14; C#4 F4 F#3 A2;3;T
53,5;[0, 3, 6, 9];[0, 3, 6, 9];[11, 2, 5, 8];63;45;107;14; C4 E-4 F#3 A2;3;T
54;[0, 4, 5, 7];[11, 3, 4, 6];[10, 2, 3, 5];63;42;108;14; E-4 B3 F#2 E3;3;T
54,5;[0, 3, 6, 8];[10, 1, 4, 6];[9, 0, 3, 5];61;42;109;14; C#4 B-3 F#2 E3;3;T
55;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];61;39;110;15; A3 C#4 C#3 F#3 E-2 G#2;3;T
55,5;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];61;39;111;15; A3 C#4 G#3 C#3 F#3 E-2 G#2;3;T
56;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];63;39;112;15; A3 C#4 E-4 C#3 F#3 E-2 G#2;3;T
56,5;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];66;39;113;15; A3 F#4 C#4 E-4 C#3 F#3 E-2 G#2;3;T
57;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];68;39;114;15; A3 G#4 C#4 E-4 C#3 F#3 E-2 G#2;3;T
57,5;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];75;39;115;15; E-5 C#5 A3 C#4 E-4 C#3 F#3 E-2 G#2;3;T
58;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];78;39;116;15; F#5 A3 C#4 E-4 C#3 F#3 E-2 G#2;3;T
58,5;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];80;39;117;15; G#5 A3 C#4 E-4 C#3 F#3 E-2 G#2;3;T
59;[0, 3, 5];[10, 1, 3];[9, 0, 2];99;25;118;16; E-6 B-6 E-7 C#1 C#2;3;T
59,5;[0, 2, 7];[1, 3, 8];[0, 2, 7];97;27;119;16; C#6 G#6 C#7 E-1 E-2;3;T
60;[0, 2, 7];[3, 5, 10];[2, 4, 9];94;29;120;16; B-5 E-6 B-6 F1 F2;3;T
60,5;[0, 5];[8, 1];[7, 0];92;32;121;16; G#5 C#6 G#6 G#1 G#2;3;T
61;[0, 5];[10, 3];[9, 2];87;34;122;16; E-5 B-5 E-6 B-1 B-2;3;T
61,5;[0, 5];[8, 1];[7, 0];85;37;123;16; C#5 G#5 C#6 C#2 C#3;3;T
62;[0, 5];[10, 3];[9, 2];82;39;124;16; B-4 E-5 B-5 E-2 E-3;3;T
62,5;[0, 4, 7];[1, 5, 8];[0, 4, 7];80;41;125;16; G#4 C#5 G#5 F2 F3;3;T
63;[0, 5];[3, 8];[2, 7];75;44;126;17; E-4 G#4 E-5 G#2 E-3 G#3;3;T
63,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];73;46;127;17; C#4 B-4 C#5 B-2 F3 B-3;3;T
64;[0, 5];[3, 8];[2, 7];75;44;128;17; E-4 G#4 E-5 G#2 E-3 G#3;3;T
64,5;[0, 5];[0, 5];[11, 4];77;41;129;17; F4 C5 F5 F2 F3 C3;3;T
65;[0, 2, 5];[0, 2, 5];[11, 1, 4];96;29;130;17; C6 D6 C7 F4 C5 F5 F1 C2 F2 F3 C3;3;T
66;[0, 2, 5];[0, 2, 5];[11, 1, 4];77;41;131;17; C4 D4 F4 C5 F5 D3 C3 F2 F3;3;T
67;[0, 2];[0, 2];[11, 1];62;50;132;18; C4 D4 D3;3;T
69;[0, 2, 5];[0, 2, 5];[11, 1, 4];62;53;133;18; C4 D4 F3;3;T
69,125;[0, 3, 4, 6];[8, 11, 0, 2];[7, 10, 11, 1];62;56;134;18; C4 D4 G#3 B3;3;T
69,25;[0];[3];[2];63;63;135;18; E-4;3;T
69,375;[0, 3];[5, 8];[4, 7];68;65;136;18; F4 G#4;3;T
69,5;[0, 1];[0, 1];[11, 0];61;60;137;18; C4 C#4;3;T
71;[0, 5];[0, 5];[11, 4];96;29;138;19; C6 F6 C7 F1 C2 F2;3;T
72;[0, 2];[0, 2];[11, 1];62;48;139;19; C4 D4 C3 D3;3;T
74;[0, 2, 5];[0, 2, 5];[11, 1, 4];62;53;140;19; C4 D4 F3;3;T
74,125;[0, 3, 4, 6];[8, 11, 0, 2];[7, 10, 11, 1];62;56;141;19; C4 D4 G#3 B3;3;T
74,25;[0];[3];[2];63;63;142;19; E-4;3;T
74,375;[0, 3];[5, 8];[4, 7];68;65;143;19; F4 G#4;3;T
74,5;[0, 1];[0, 1];[11, 0];61;60;144;19; C4 C#4;3;T
75;[0];[5];[4];53;53;145;20; F3;3;T
75,125;[0, 6];[5, 11];[4, 10];59;53;146;20; B3 F3;3;T
75,25;[0];[5];[4];53;53;147;20; F3;3;T
75,375;[0, 2];[3, 5];[2, 4];63;53;148;20; E-4 F3;3;T
75,5;[0, 3];[5, 8];[4, 7];68;53;149;20; G#4 F3;3;T
75,625;[0];[5];[4];65;53;150;20; F4 F3;3;T
75,75;[0];[5];[4];53;53;151;20; F3;3;T
75,875;[0, 4];[1, 5];[0, 4];61;53;152;20; C#4 F3;3;T
76;[0];[8];[7];56;56;153;20; G#3;3;T
76,125;[0, 6];[2, 8];[1, 7];62;56;154;20; D4 G#3;3;T
76,25;[0];[8];[7];56;56;155;20; G#3;3;T
76,375;[0, 2];[6, 8];[5, 7];66;56;156;20; F#4 G#3;3;T
76,5;[0, 3];[8, 11];[7, 10];71;56;157;20; B4 G#3;3;T
76,625;[0];[8];[7];68;56;158;20; G#4 G#3;3;T
76,75;[0];[8];[7];56;56;159;20; G#3;3;T
76,875;[0, 4];[4, 8];[3, 7];64;56;160;20; E4 G#3;3;T
77;[0];[11];[10];59;59;161;20; B3;3;T
77,125;[0, 6];[5, 11];[4, 10];65;59;162;20; F4 B3;3;T
77,25;[0];[11];[10];59;59;163;20; B3;3;T
77,375;[0, 2];[9, 11];[8, 10];69;59;164;20; A4 B3;3;T
77,5;[0, 3];[11, 2];[10, 1];74;59;165;20; D5 B3;3;T
77,625;[0];[11];[10];71;59;166;20; B4 B3;3;T
77,75;[0];[11];[10];59;59;167;20; B3;3;T
77,875;[0, 4];[7, 11];[6, 10];67;59;168;20; G4 B3;3;T
78;[0];[2];[1];62;62;169;20; D4;3;T
78,125;[0, 6];[2, 8];[1, 7];68;62;170;20; G#4 D4;3;T
78,25;[0];[2];[1];62;62;171;20; D4;3;T
78,375;[0, 2];[0, 2];[11, 1];72;62;172;20; C5 D4;3;T
78,5;[0, 3];[2, 5];[1, 4];77;62;173;20; F5 D4;3;T
78,625;[0];[2];[1];74;62;174;20; D5 D4;3;T
78,75;[0];[2];[1];62;62;175;20; D4;3;T
78,875;[0, 4];[10, 2];[9, 1];70;62;176;20; B-4 D4;3;T
79;[0];[5];[4];65;65;177;21; F4;3;T
79,125;[0, 6];[5, 11];[4, 10];71;65;178;21; B4 F4;3;T
79,25;[0];[5];[4];65;65;179;21; F4;3;T
79,375;[0, 2];[3, 5];[2, 4];75;65;180;21; E-5 F4;3;T
79,5;[0, 3];[5, 8];[4, 7];80;65;181;21; G#5 F4;3;T
79,625;[0];[5];[4];77;65;182;21; F5 F4;3;T
79,75;[0];[5];[4];65;65;183;21; F4;3;T
79,875;[0, 4];[1, 5];[0, 4];73;65;184;21; C#5 F4;3;T
80;[0];[8];[7];68;68;185;21; G#4;3;T
80,125;[0, 6];[2, 8];[1, 7];74;68;186;21; D5 G#4;3;T
80,25;[0];[8];[7];68;68;187;21; G#4;3;T
80,375;[0, 2];[6, 8];[5, 7];78;68;188;21; F#5 G#4;3;T
80,5;[0, 3];[8, 11];[7, 10];83;68;189;21; B5 G#4;3;T
80,625;[0];[8];[7];80;68;190;21; G#5 G#4;3;T
80,75;[0];[8];[7];68;68;191;21; G#4;3;T
80,875;[0, 4];[4, 8];[3, 7];76;68;192;21; E5 G#4;3;T
81;[0];[11];[10];71;71;193;21; B4;3;T
81,125;[0, 6];[5, 11];[4, 10];77;71;194;21; F5 B4;3;T
81,25;[0];[11];[10];71;71;195;21; B4;3;T
81,375;[0, 2];[9, 11];[8, 10];81;71;196;21; A5 B4;3;T
81,5;[0, 3];[11, 2];[10, 1];86;71;197;21; D6 B4;3;T
81,625;[0];[11];[10];83;71;198;21; B5 B4;3;T
81,75;[0];[11];[10];71;71;199;21; B4;3;T
81,875;[0, 4];[7, 11];[6, 10];79;71;200;21; G5 B4;3;T
82;[0];[2];[1];74;74;201;21; D5;3;T
82,125;[0, 6];[2, 8];[1, 7];80;74;202;21; G#5 D5;3;T
82,25;[0];[2];[1];74;74;203;21; D5;3;T
82,375;[0, 2];[0, 2];[11, 1];84;74;204;21; C6 D5;3;T
82,5;[0, 3];[2, 5];[1, 4];89;74;205;21; F6 D5;3;T
82,625;[0];[2];[1];86;74;206;21; D6 D5;3;T
82,75;[0];[2];[1];74;74;207;21; D5;3;T
82,875;[0, 4];[10, 2];[9, 1];82;74;208;21; B-5 D5;3;T
83;[0];[5];[4];77;77;209;22; F5;3;T
83,125;[0, 3];[5, 8];[4, 7];80;77;210;22; G#5 F5;4;A
83,25;[0];[5];[4];77;77;211;22; F5;4;A
83,375;[0, 6];[5, 11];[4, 10];83;77;212;22; B5 F5;4;A
83,5;[0, 2];[3, 5];[2, 4];87;77;213;22; E-6 F5;4;A
83,625;[0, 3];[5, 8];[4, 7];92;77;214;22; G#6 F5;4;A
83,75;[0];[5];[4];77;77;215;22; F5;4;A
83,875;[0, 5];[5, 10];[4, 9];94;77;216;22; B-6 F5;4;A
84;[0, 2];[3, 5];[2, 4];99;77;217;22; E-7 F5;4;A
84,125;[0, 5];[5, 10];[4, 9];94;77;218;22; B-6 F5;4;A
84,25;[0, 3];[5, 8];[4, 7];92;77;219;22; G#6 F5;4;A
84,375;[0, 2];[3, 5];[2, 4];87;77;220;22; E-6 F5;4;A
84,5;[0, 6];[5, 11];[4, 10];83;77;221;22; B5 F5;4;A
84,625;[0, 3];[5, 8];[4, 7];80;77;222;22; G#5 F5;4;A
84,75;[0];[5];[4];77;77;223;22; F5;4;A
84,875;[0];[5];[4];77;77;224;22; F5;4;A
85;[0];[4];[3];76;76;225;22; E5;4;A
85,125;[0, 4];[4, 8];[3, 7];80;76;226;22; G#5 E5;4;A
85,25;[0];[4];[3];76;76;227;22; E5;4;A
85,375;[0, 5];[11, 4];[10, 3];83;76;228;22; B5 E5;4;A
85,5;[0];[4];[3];88;76;229;22; E6 E5;4;A
85,625;[0, 4];[4, 8];[3, 7];92;76;230;22; G#6 E5;4;A
85,75;[0];[4];[3];76;76;231;22; E5;4;A
85,875;[0, 6];[4, 10];[3, 9];94;76;232;22; B-6 E5;4;A
86;[0];[4];[3];100;76;233;22; E7 E5;4;A
86,125;[0, 6];[4, 10];[3, 9];94;76;234;22; B-6 E5;4;A
86,25;[0, 4];[4, 8];[3, 7];92;76;235;22; G#6 E5;4;A
86,375;[0];[4];[3];88;76;236;22; E6 E5;4;A
86,5;[0, 5];[11, 4];[10, 3];83;76;237;22; B5 E5;4;A
86,625;[0, 4];[4, 8];[3, 7];80;76;238;22; G#5 E5;4;A
86,75;[0];[4];[3];76;76;239;22; E5;4;A
86,875;[0];[4];[3];76;76;240;22; E5;4;A
87;[0];[3];[2];75;75;241;23; E-5;4;A
87,125;[0, 5];[3, 8];[2, 7];80;75;242;23; G#5 E-5;4;A
87,25;[0];[3];[2];75;75;243;23; E-5;4;A
87,375;[0, 4];[11, 3];[10, 2];83;75;244;23; B5 E-5;4;A
