Offset;Normal Form;Pitch-classes;Scale degrees;Highest pitch;Lowest pitch;Slice_Number;Measure;Chord;Segment_Number;Quality
87,5;[0, 2];[3, 5];[2, 4];89;75;245;23; F6 E-5;4;A
87,625;[0, 5];[3, 8];[2, 7];92;75;246;23; G#6 E-5;4;A
87,75;[0];[3];[2];75;75;247;23; E-5;4;A
87,875;[0, 5];[10, 3];[9, 2];94;75;248;23; B-6 E-5;4;A
88;[0, 2];[3, 5];[2, 4];101;75;249;23; F7 E-5;4;A
88,125;[0, 5];[10, 3];[9, 2];94;75;250;23; B-6 E-5;4;A
88,25;[0, 5];[3, 8];[2, 7];92;75;251;23; G#6 E-5;4;A
88,375;[0, 2];[3, 5];[2, 4];89;75;252;23; F6 E-5;4;A
88,5;[0, 4];[11, 3];[10, 2];83;75;253;23; B5 E-5;4;A
88,625;[0, 5];[3, 8];[2, 7];80;75;254;23; G#5 E-5;4;A
88,75;[0];[3];[2];75;75;255;23; E-5;4;A
88,875;[0];[3];[2];75;75;256;23; E-5;5;O
89;[0];[2];[1];74;74;257;23; D5;5;O
89,125;[0, 6];[2, 8];[1, 7];80;74;258;23; G#5 D5;5;O
89,25;[0];[2];[1];74;74;259;23; D5;5;O
89,375;[0, 3];[11, 2];[10, 1];83;74;260;23; B5 D5;5;O
89,5;[0, 4];[2, 6];[1, 5];90;74;261;23; F#6 D5;5;O
89,625;[0, 6];[2, 8];[1, 7];92;74;262;23; G#6 D5;5;O
89,75;[0];[2];[1];74;74;263;23; D5;5;O
89,875;[0, 4];[10, 2];[9, 1];94;74;264;23; B-6 D5;5;O
90;[0, 4];[2, 6];[1, 5];102;74;265;23; F#7 D5;5;O
90,125;[0, 3];[11, 2];[10, 1];95;74;266;23; B6 D5;5;O
90,25;[0];[2];[1];74;74;267;23; D5;5;O
90,375;[0, 4];[10, 2];[9, 1];94;74;268;23; B-6 D5;5;O
90,5;[0, 6];[2, 8];[1, 7];92;74;269;23; G#6 D5;5;O
90,625;[0, 4];[2, 6];[1, 5];90;74;270;23; F#6 D5;5;O
90,75;[0];[2];[1];74;74;271;23; D5;5;O
90,875;[0, 3];[11, 2];[10, 1];83;74;272;23; B5 D5;5;O
91;[0];[10];[9];82;82;273;24; B-5;5;O
91,125;[0];[8];[7];80;80;274;24; G#5;5;O
91,25;[0];[6];[5];78;78;275;24; F#5;5;O
91,375;[0];[11];[10];71;71;276;24; B4;5;O
91,5;[0];[10];[9];70;70;277;24; B-4;5;O
91,625;[0];[8];[7];68;68;278;24; G#4;5;O
91,75;[0];[6];[5];66;66;279;24; F#4;5;O
91,875;[0];[11];[10];59;59;280;24; B3;5;O
92;[0];[6];[5];66;66;281;24; F#4;5;O
92,125;[0];[8];[7];68;68;282;24; G#4;5;O
92,25;[0];[10];[9];70;70;283;24; B-4;5;O
92,375;[0];[11];[10];71;71;284;24; B4;5;O
92,5;[0];[6];[5];78;78;285;24; F#5;5;O
92,625;[0];[8];[7];80;80;286;24; G#5;5;O
92,75;[0];[10];[9];82;82;287;24; B-5;5;O
92,875;[0];[11];[10];83;83;288;24; B5;5;O
93;[0];[6];[5];90;90;289;24; F#6;5;O
93,125;[0];[8];[7];92;92;290;24; G#6;5;O
93,25;[0];[10];[9];94;94;291;24; B-6;5;O
93,375;[0];[11];[10];95;95;292;24; B6;5;O
93,5;[0];[6];[5];102;102;293;24; F#7;5;O
93,625;[0];[11];[10];95;95;294;24; B6;5;O
93,75;[0];[10];[9];94;94;295;24; B-6;5;O
93,875;[0];[8];[7];92;92;296;24; G#6;5;O
94;[0];[6];[5];90;90;297;24; F#6;5;O
94,125;[0];[11];[10];83;83;298;24; B5;5;O
94,25;[0];[10];[9];82;82;299;24; B-5;5;O
94,375;[0];[8];[7];80;80;300;24; G#5;5;O
94,5;[0];[6];[5];78;78;301;24; F#5;5;O
94,625;[0];[11];[10];71;71;302;24; B4;5;O
94,75;[0];[10];[9];70;70;303;24; B-4;5;O
94,875;[0];[8];[7];68;68;304;24; G#4;5;O
95;[0];[6];[5];66;66;305;24; F#4;5;O
95,125;[0];[11];[10];59;59;306;24; B3;5;O
95,25;[0];[6];[5];66;66;307;24; F#4;5;O
95,375;[0];[8];[7];68;68;308;24; G#4;5;O
95,5;[0];[10];[9];70;70;309;24; B-4;5;O
95,625;[0];[11];[10];71;71;310;24; B4;5;O
95,75;[0];[6];[5];78;78;311;24; F#5;5;O
95,875;[0];[8];[7];80;80;312;24; G#5;5;O
96;[0];[10];[9];82;82;313;24; B-5;5;O
96,125;[0];[11];[10];83;83;314;24; B5;5;O
96,375;[0];[6];[5];90;90;315;24; F#6;5;O
96,5;[0];[8];[7];92;92;316;24; G#6;5;O
96,625;[0];[10];[9];94;94;317;24; B-6;5;O
96,875;[0];[11];[10];95;95;318;24; B6;5;O
97;[0, 2];[6, 8];[5, 7];102;32;319;25; F#7 G#1;5;O
97,125;[0, 3];[8, 11];[7, 10];95;32;320;25; B6 G#1;5;O
97,25;[0];[8];[7];32;32;321;25; G#1;5;O
97,375;[0, 2];[8, 10];[7, 9];94;32;322;25; B-6 G#6 G#1;5;O
97,5;[0];[8];[7];32;32;323;25; G#1;5;O
97,625;[0, 2];[6, 8];[5, 7];90;32;324;25; F#6 G#1;5;O
97,75;[0, 3];[8, 11];[7, 10];83;32;325;25; B5 G#1;5;O
97,875;[0, 2];[8, 10];[7, 9];82;32;326;25; B-5 G#1;5;O
98;[0];[8];[7];32;32;327;25; G#1;5;O
98,125;[0];[8];[7];80;32;328;25; G#5 G#1;5;O
98,25;[0, 2];[6, 8];[5, 7];78;32;329;25; F#5 G#1;5;O
98,375;[0, 3];[8, 11];[7, 10];71;32;330;25; B4 G#1;5;O
98,5;[0, 2, 6];[8, 10, 2];[7, 9, 1];70;32;331;25; B-4 D4 G#1;5;O
98,625;[0, 6];[2, 8];[1, 7];68;32;332;25; G#4 D4 G#1;5;O
98,75;[0, 6];[2, 8];[1, 7];62;32;333;25; D4 G#1;5;O
98,875;[0, 4, 6];[2, 6, 8];[1, 5, 7];66;32;334;25; F#4 D4 G#1;5;O
99;[0, 4, 7];[4, 8, 11];[3, 7, 10];64;32;335;25; B3 E4 G#1;5;O
99,125;[0, 2, 4];[4, 6, 8];[3, 5, 7];66;32;336;25; F#4 E4 G#1;5;O
99,25;[0, 4];[4, 8];[3, 7];68;32;337;25; G#4 E4 G#1;6;Wt
99,375;[0, 4, 6];[4, 8, 10];[3, 7, 9];70;32;338;25; B-4 E4 G#1;6;Wt
99,5;[0, 4];[4, 8];[3, 7];64;32;339;25; E4 G#1;6;Wt
99,625;[0, 4, 7];[4, 8, 11];[3, 7, 10];71;32;340;25; B4 E4 G#1;6;Wt
99,75;[0, 2, 4];[4, 6, 8];[3, 5, 7];78;32;341;25; F#5 E4 G#1;6;Wt
99,875;[0, 4];[4, 8];[3, 7];80;32;342;25; G#5 E4 G#1;6;Wt
100;[0, 4];[4, 8];[3, 7];64;32;343;25; E4 G#1;6;Wt
100,125;[0, 4, 6];[4, 8, 10];[3, 7, 9];82;32;344;25; B-5 E4 G#1;6;Wt
100,25;[0, 4, 7];[4, 8, 11];[3, 7, 10];83;32;345;25; B5 E4 G#1;6;Wt
100,375;[0, 2, 4];[4, 6, 8];[3, 5, 7];90;32;346;25; F#6 E4 G#1;6;Wt
100,5;[0];[8];[7];92;32;347;25; G#6 G#4 G#1;6;Wt
100,625;[0, 2];[8, 10];[7, 9];94;32;348;25; B-6 G#4 G#1;6;Wt
100,75;[0];[8];[7];68;32;349;25; G#4 G#1;6;Wt
100,875;[0, 3];[8, 11];[7, 10];95;32;350;25; B6 G#4 G#1;6;Wt
101;[0, 2];[6, 8];[5, 7];102;32;351;26; F#7 F#4 G#1;6;Wt
101,125;[0, 2, 5];[6, 8, 11];[5, 7, 10];95;32;352;26; B6 F#4 G#1;6;Wt
101,25;[0, 2];[6, 8];[5, 7];66;32;353;26; F#4 G#1;6;Wt
101,375;[0, 2, 4];[6, 8, 10];[5, 7, 9];94;32;354;26; B-6 G#6 F#4 G#1;6;Wt
101,5;[0, 2];[6, 8];[5, 7];66;32;355;26; F#4 G#1;6;Wt
101,625;[0, 2];[6, 8];[5, 7];90;32;356;26; F#6 F#4 G#1;6;Wt
101,75;[0, 2, 5];[6, 8, 11];[5, 7, 10];83;32;357;26; B5 F#4 G#1;6;Wt
101,875;[0, 2, 4];[6, 8, 10];[5, 7, 9];82;32;358;26; B-5 F#4 G#1;6;Wt
102;[0, 2];[6, 8];[5, 7];66;32;359;26; F#4 G#1;6;Wt
102,125;[0, 2];[6, 8];[5, 7];80;32;360;26; G#5 F#4 G#1;6;Wt
102,25;[0, 2];[6, 8];[5, 7];78;32;361;26; F#5 F#4 G#1;6;Wt
102,375;[0, 2, 5];[6, 8, 11];[5, 7, 10];71;32;362;26; B4 F#4 G#1;6;Wt
102,5;[0, 4, 6];[4, 8, 10];[3, 7, 9];70;32;363;26; B-4 E4 G#1;6;Wt
102,625;[0, 4];[4, 8];[3, 7];68;32;364;26; G#4 E4 G#1;6;Wt
102,75;[0, 4];[4, 8];[3, 7];64;32;365;26; E4 G#1;6;Wt
102,875;[0, 2, 4];[4, 6, 8];[3, 5, 7];66;32;366;26; F#4 E4 G#1;6;Wt
103;[0, 3, 6];[8, 11, 2];[7, 10, 1];62;32;367;26; B3 D4 G#1;6;Wt
103,125;[0, 4, 6];[2, 6, 8];[1, 5, 7];66;32;368;26; F#4 D4 G#1;6;Wt
103,25;[0, 6];[2, 8];[1, 7];68;32;369;26; G#4 D4 G#1;6;Wt
103,375;[0, 2, 6];[8, 10, 2];[7, 9, 1];70;32;370;26; B-4 D4 G#1;6;Wt
103,5;[0, 6];[2, 8];[1, 7];62;32;371;26; D4 G#1;6;Wt
103,625;[0, 3, 6];[8, 11, 2];[7, 10, 1];71;32;372;26; B4 D4 G#1;6;Wt
103,75;[0, 4, 6];[2, 6, 8];[1, 5, 7];78;32;373;26; F#5 D4 G#1;6;Wt
103,875;[0, 6];[2, 8];[1, 7];80;32;374;26; G#5 D4 G#1;6;Wt
104;[0, 6];[2, 8];[1, 7];62;32;375;26; D4 G#1;6;Wt
104,125;[0, 2, 6];[8, 10, 2];[7, 9, 1];82;32;376;26; B-5 D4 G#1;6;Wt
104,25;[0, 3, 6];[8, 11, 2];[7, 10, 1];83;32;377;26; B5 D4 G#1;6;Wt
104,375;[0, 4, 6];[2, 6, 8];[1, 5, 7];90;32;378;26; F#6 D4 G#1;6;Wt
104,5;[0, 6];[2, 8];[1, 7];92;32;379;26; G#6 D4 G#1;7;A
104,625;[0, 2, 6];[8, 10, 2];[7, 9, 1];94;32;380;26; B-6 D4 G#1;7;A
104,75;[0, 6];[2, 8];[1, 7];62;32;381;26; D4 G#1;7;A
104,875;[0, 3, 6];[8, 11, 2];[7, 10, 1];95;32;382;26; B6 D4 G#1;7;A
105;[0, 4, 6];[2, 6, 8];[1, 5, 7];102;32;383;27; F#7 D4 G#1;7;A
105,125;[0, 3, 6];[8, 11, 2];[7, 10, 1];95;32;384;27; B6 D4 G#1;7;A
105,25;[0, 6];[2, 8];[1, 7];62;32;385;27; D4 G#1;7;A
105,375;[0, 2, 6];[8, 10, 2];[7, 9, 1];94;32;386;27; B-6 G#6 D4 G#1;7;A
105,5;[0, 6];[2, 8];[1, 7];62;32;387;27; D4 G#1;7;A
105,625;[0, 4, 6];[2, 6, 8];[1, 5, 7];90;32;388;27; F#6 D4 G#1;7;A
105,75;[0, 3, 6];[8, 11, 2];[7, 10, 1];83;32;389;27; B5 D4 G#1;7;A
105,875;[0, 2, 6];[8, 10, 2];[7, 9, 1];82;32;390;27; B-5 D4 G#1;7;A
106;[0, 6];[2, 8];[1, 7];62;32;391;27; D4 G#1;7;A
106,125;[0, 6];[2, 8];[1, 7];80;32;392;27; G#5 D4 G#1;7;A
106,25;[0, 4, 6];[2, 6, 8];[1, 5, 7];78;32;393;27; F#5 D4 G#1;7;A
106,375;[0, 3, 6];[8, 11, 2];[7, 10, 1];71;32;394;27; B4 D4 G#1;7;A
106,5;[0, 2, 6];[8, 10, 2];[7, 9, 1];70;32;395;27; B-4 D4 G#1;7;A
106,625;[0, 6];[2, 8];[1, 7];68;32;396;27; G#4 D4 G#1;7;A
106,75;[0, 6];[2, 8];[1, 7];62;32;397;27; D4 G#1;7;A
106,875;[0, 4, 6];[2, 6, 8];[1, 5, 7];66;32;398;27; F#4 D4 G#1;7;A
107;[0, 3];[8, 11];[7, 10];59;32;399;27; B3 G#1;7;A
107,125;[0, 2, 5];[6, 8, 11];[5, 7, 10];66;32;400;27; F#4 B3 G#1;7;A
107,25;[0, 3];[8, 11];[7, 10];68;32;401;27; G#4 B3 G#1;7;A
107,375;[0, 2, 3];[8, 10, 11];[7, 9, 10];70;32;402;27; B-4 B3 G#1;7;A
107,5;[0, 3];[8, 11];[7, 10];59;32;403;27; B3 G#1;7;A
107,625;[0, 3];[8, 11];[7, 10];71;32;404;27; B4 B3 G#1;7;A
107,75;[0, 2, 5];[6, 8, 11];[5, 7, 10];78;32;405;27; F#5 B3 G#1;7;A
107,875;[0, 3];[8, 11];[7, 10];80;32;406;27; G#5 B3 G#1;7;A
108;[0, 3];[8, 11];[7, 10];59;32;407;27; B3 G#1;7;A
108,125;[0, 2, 3];[8, 10, 11];[7, 9, 10];82;32;408;27; B-5 B3 G#1;7;A
108,25;[0, 3];[8, 11];[7, 10];83;32;409;27; B5 B3 G#1;7;A
108,375;[0, 2, 5];[6, 8, 11];[5, 7, 10];90;32;410;27; F#6 B3 G#1;7;A
108,5;[0, 3];[8, 11];[7, 10];92;32;411;27; G#6 B3 G#1;7;A
108,625;[0, 2, 3];[8, 10, 11];[7, 9, 10];94;32;412;27; B-6 B3 G#1;7;A
108,75;[0, 3];[8, 11];[7, 10];59;32;413;27; B3 G#1;7;A
108,875;[0, 3];[8, 11];[7, 10];95;32;414;27; B6 B3 G#1;7;A
109;[0, 2, 7];[8, 10, 3];[7, 9, 2];106;32;415;28; B-7 E-4 G#1;7;A
109,125;[0, 5];[3, 8];[2, 7];104;32;416;28; G#7 E-4 G#1;7;A
109,25;[0, 3, 5];[3, 6, 8];[2, 5, 7];102;32;417;28; F#7 E-4 G#1;7;A
109,375;[0, 4, 7];[8, 0, 3];[7, 11, 2];96;32;418;28; C7 E-4 G#1;7;A
109,5;[0, 2, 7];[8, 10, 3];[7, 9, 2];94;32;419;28; B-6 E-4 G#1;7;A
109,625;[0, 5];[3, 8];[2, 7];92;32;420;28; G#6 E-4 G#1;7;A
109,75;[0, 5];[3, 8];[2, 7];63;32;421;28; E-4 G#1;7;A
109,875;[0, 3, 5];[3, 6, 8];[2, 5, 7];90;32;422;28; F#6 E-4 G#1;7;A
110;[0, 4, 7];[8, 0, 3];[7, 11, 2];84;32;423;28; C6 E-4 G#1;7;A
110,125;[0, 2, 7];[8, 10, 3];[7, 9, 2];82;32;424;28; B-5 E-4 G#1;7;A
110,25;[0, 5];[3, 8];[2, 7];80;32;425;28; G#5 E-4 G#1;7;A
110,375;[0, 3, 5];[3, 6, 8];[2, 5, 7];78;32;426;28; F#5 E-4 G#1;7;A
110,5;[0, 4, 7];[8, 0, 3];[7, 11, 2];72;32;427;28; C5 E-4 G#1;7;A
110,625;[0, 2, 7];[8, 10, 3];[7, 9, 2];70;32;428;28; B-4 E-4 G#1;7;A
110,75;[0, 5];[3, 8];[2, 7];63;32;429;28; E-4 G#1;7;A
110,875;[0, 5];[3, 8];[2, 7];68;32;430;28; G#4 E-4 G#1;7;A
111;[0, 3, 5];[3, 6, 8];[2, 5, 7];66;32;431;28; F#4 E-4 G#1;7;A
111,125;[0, 4, 7];[8, 0, 3];[7, 11, 2];63;32;432;28; C4 E-4 G#1;7;A
111,25;[0, 3, 5];[3, 6, 8];[2, 5, 7];66;32;433;28; F#4 E-4 G#1;7;A
111,375;[0, 5];[3, 8];[2, 7];68;32;434;28; G#4 E-4 G#1;7;A
111,5;[0, 2, 7];[8, 10, 3];[7, 9, 2];70;32;435;28; B-4 E-4 G#1;7;A
111,625;[0, 4, 7];[8, 0, 3];[7, 11, 2];72;32;436;28; C5 E-4 G#1;7;A
111,75;[0, 5];[3, 8];[2, 7];63;32;437;28; E-4 G#1;7;A
111,875;[0, 3, 5];[3, 6, 8];[2, 5, 7];78;32;438;28; F#5 E-4 G#1;7;A
112;[0, 5];[3, 8];[2, 7];80;32;439;28; G#5 E-4 G#1;7;A
112,125;[0, 2, 7];[8, 10, 3];[7, 9, 2];82;32;440;28; B-5 E-4 G#1;7;A
112,25;[0, 4, 7];[8, 0, 3];[7, 11, 2];84;32;441;28; C6 E-4 G#1;7;A
112,375;[0, 3, 5];[3, 6, 8];[2, 5, 7];90;32;442;28; F#6 E-4 G#1;7;A
112,5;[0, 5];[3, 8];[2, 7];92;32;443;28; G#6 E-4 G#1;7;A
112,625;[0, 2, 7];[8, 10, 3];[7, 9, 2];94;32;444;28; B-6 E-4 G#1;7;A
112,75;[0, 5];[3, 8];[2, 7];63;32;445;28; E-4 G#1;7;A
112,875;[0, 4, 7];[8, 0, 3];[7, 11, 2];96;32;446;28; C7 E-4 G#1;7;A
113;[0, 2];[8, 10];[7, 9];106;32;447;29; B-7 G#1;7;A
113,125;[0];[8];[7];104;32;448;29; G#7 G#1;7;A
113,25;[0, 2];[6, 8];[5, 7];102;32;449;29; F#7 G#1;7;A
113,375;[0, 4];[8, 0];[7, 11];96;32;450;29; C7 G#1;7;A
113,5;[0, 2];[8, 10];[7, 9];94;32;451;29; B-6 G#1;7;A
113,625;[0];[8];[7];92;32;452;29; G#6 G#1;7;A
113,75;[0, 2];[6, 8];[5, 7];90;32;453;29; F#6 G#1;7;A
113,875;[0, 4];[8, 0];[7, 11];84;32;454;29; C6 G#1;7;A
114;[0];[8];[7];32;32;455;29; G#1;7;A
114,125;[0, 2];[8, 10];[7, 9];82;32;456;29; B-5 G#1;7;A
114,25;[0];[8];[7];80;32;457;29; G#5 G#1;7;A
114,375;[0, 2];[6, 8];[5, 7];78;32;458;29; F#5 G#1;7;A
114,5;[0, 4];[8, 0];[7, 11];72;32;459;29; C5 G#1;7;A
114,625;[0, 2];[8, 10];[7, 9];70;32;460;29; B-4 G#1;7;A
114,75;[0];[8];[7];68;32;461;29; G#4 G#1;7;A
114,875;[0, 2];[6, 8];[5, 7];66;32;462;29; F#4 G#1;7;A
115;[0, 4];[8, 0];[7, 11];60;32;463;29; C4 G#1;7;A
115,125;[0, 2];[6, 8];[5, 7];66;32;464;29; F#4 G#1;7;A
115,25;[0];[8];[7];68;32;465;29; G#4 G#1;7;A
115,375;[0, 2];[8, 10];[7, 9];70;32;466;29; B-4 G#1;7;A
115,5;[0];[8];[7];32;32;467;29; G#1;7;A
115,625;[0, 4];[8, 0];[7, 11];72;32;468;29; C5 G#1;7;A
115,75;[0, 2];[6, 8];[5, 7];78;32;469;29; F#5 G#1;7;A
115,875;[0];[8];[7];80;32;470;29; G#5 G#1;7;A
116;[0];[8];[7];32;32;471;29; G#1;7;A
116,125;[0, 2];[8, 10];[7, 9];82;32;472;29; B-5 G#1;7;A
116,25;[0, 4];[8, 0];[7, 11];84;32;473;29; C6 G#1;7;A
116,375;[0, 2];[6, 8];[5, 7];90;32;474;29; F#6 G#1;7;A
116,5;[0];[8];[7];92;32;475;29; G#6 G#1;7;A
116,625;[0, 2];[8, 10];[7, 9];94;32;476;29; B-6 G#1;7;A
116,75;[0];[8];[7];32;32;477;29; G#1;7;A
116,875;[0, 4];[8, 0];[7, 11];96;32;478;29; C7 G#1;7;A
117;[0, 2];[8, 10];[7, 9];106;32;479;30; B-7 G#1;7;A
117,125;[0];[8];[7];104;32;480;30; G#7 G#1;7;A
117,25;[0, 2];[6, 8];[5, 7];102;32;481;30; F#7 G#1;7;A
117,375;[0, 4];[8, 0];[7, 11];96;32;482;30; C7 G#1;7;A
117,5;[0, 2];[8, 10];[7, 9];94;32;483;30; B-6 G#1;7;A
117,625;[0];[8];[7];92;32;484;30; G#6 G#1;7;A
117,75;[0, 2];[6, 8];[5, 7];90;32;485;30; F#6 G#1;7;A
117,875;[0, 2];[8, 10];[7, 9];82;32;486;30; B-5 G#1;7;A
118;[0];[8];[7];80;32;487;30; G#5 G#1;7;A
118,125;[0, 2];[6, 8];[5, 7];78;32;488;30; F#5 G#1;7;A
118,25;[0];[8];[7];32;32;489;30; G#1;7;A
118,5;[0, 4];[8, 0];[7, 11];72;32;490;30; C5 C4 G#1;7;A
119;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;32;491;30; F#4 G#4 B-4 C#4 C#5 G#1;7;A
119,625;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];78;32;492;30; F#5 F#4 G#4 B-4 C#4 C#5 G#1;7;A
119,75;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];80;32;493;30; G#5 F#4 G#4 B-4 C#4 C#5 G#1;7;A
119,875;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];82;32;494;30; B-5 F#4 G#4 B-4 C#4 C#5 G#1;7;A
120;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];85;32;495;30; C#6 F#4 G#4 B-4 C#4 C#5 G#1;7;A
120,125;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];90;32;496;30; F#6 F#4 G#4 B-4 C#4 C#5 G#1;7;A
120,25;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];92;32;497;30; G#6 F#4 G#4 B-4 C#4 C#5 G#1;7;A
120,375;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];94;32;498;30; B-6 F#4 G#4 B-4 C#4 C#5 G#1;7;A
120,5;[0, 1, 3, 5];[5, 6, 8, 10];[4, 5, 7, 9];89;32;499;30; F6 F4 F5 F#4 G#4 B-4 G#1;7;A
120,75;[0, 1, 3, 5];[5, 6, 8, 10];[4, 5, 7, 9];101;32;500;30; F7 F#4 G#4 B-4 F4 F5 G#1;7;A
121;[0, 3, 5, 7];[3, 6, 8, 10];[2, 5, 7, 9];99;32;501;31; E-7 F#4 G#4 B-4 E-4 E-5 G#1;7;A
121,125;[0, 3, 5, 7];[3, 6, 8, 10];[2, 5, 7, 9];94;32;502;31; B-6 F#4 G#4 B-4 E-4 E-5 G#1;7;A
121,25;[0, 3, 5, 7];[3, 6, 8, 10];[2, 5, 7, 9];92;32;503;31; G#6 F#4 G#4 B-4 E-4 E-5 G#1;7;A
121,375;[0, 3, 5, 7];[3, 6, 8, 10];[2, 5, 7, 9];90;32;504;31; F#6 F#4 G#4 B-4 E-4 E-5 G#1;7;A
121,5;[0, 3, 5, 7];[3, 6, 8, 10];[2, 5, 7, 9];87;32;505;31; E-6 F#4 G#4 B-4 E-4 E-5 G#1;7;A
121,625;[0, 3, 5, 7];[3, 6, 8, 10];[2, 5, 7, 9];82;32;506;31; B-5 F#4 G#4 B-4 E-4 E-5 G#1;7;A
121,75;[0, 3, 5, 7];[3, 6, 8, 10];[2, 5, 7, 9];80;32;507;31; G#5 F#4 G#4 B-4 E-4 E-5 G#1;7;A
121,875;[0, 3, 5, 7];[3, 6, 8, 10];[2, 5, 7, 9];78;32;508;31; F#5 F#4 G#4 B-4 E-4 E-5 G#1;7;A
122;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];85;32;509;31; C#6 C#4 C#5 F#4 G#4 B-4 G#1;7;A
122,125;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];82;32;510;31; B-5 F#4 G#4 B-4 C#4 C#5 G#1;7;A
122,25;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];80;32;511;31; G#5 F#4 G#4 B-4 C#4 C#5 G#1;7;A
122,375;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];78;32;512;31; F#5 F#4 G#4 B-4 C#4 C#5 G#1;7;A
122,5;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;32;513;31; C#5 F#4 G#4 B-4 C#4 G#1;7;A
122,625;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;32;514;31; B-4 F#4 G#4 C#4 C#5 G#1;7;A
122,75;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;32;515;31; G#4 F#4 B-4 C#4 C#5 G#1;7;A
122,875;[0, 2, 4, 7];[6, 8, 10, 1];[5, 7, 9, 0];73;32;516;31; F#4 G#4 B-4 C#4 C#5 G#1;7;A
