Offset;Normal Form;Pitch-classes;Scale degrees;Highest pitch;Lowest pitch;Slice_Number;Measure;Chord;Segment_Number;Quality
123;[0, 3, 4, 6, 8];[4, 7, 8, 10, 0];[3, 6, 7, 9, 11];72;32;517;31; E4 G4 B-4 C5 C4 B-3 G#1;7;A
123,375;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];73;32;518;31; E-4 F#4 A4 C#5 C#4 A3 G#1;7;A
123,625;[0, 1, 2, 4, 5, 7, 8, 9];[1, 2, 3, 5, 6, 8, 9, 10];[0, 1, 2, 4, 5, 7, 8, 9];73;32;519;31; D4 F4 G#4 B-4 E-4 F#4 A4 C#5 B-3 G#3 G#1 C#4 A3;7;A
123,75;[0, 3, 6, 8];[2, 5, 8, 10];[1, 4, 7, 9];70;32;520;31; D4 F4 G#4 B-4 G#1 B-3 G#3;7;A
124;[0, 1, 3, 5, 6, 9];[7, 8, 10, 0, 1, 4];[6, 7, 9, 11, 0, 3];72;32;521;31; C#4 E4 G4 C5 G3 G#1 B-3;7;A
124,5;[0, 1, 3, 5, 6, 9];[7, 8, 10, 0, 1, 4];[6, 7, 9, 11, 0, 3];72;32;522;31; C#4 E4 G4 C5 G#1 B-3 G3;7;A
125;[0, 4];[8, 0];[7, 11];96;32;523;32; C7 G#1;7;A
125,125;[0, 1];[7, 8];[6, 7];91;32;524;32; G6 G#1;7;A
125,25;[0, 4];[4, 8];[3, 7];88;32;525;32; E6 G#1;7;A
125,375;[0, 4];[8, 0];[7, 11];84;32;526;32; C6 G#1;7;A
125,5;[0, 5];[8, 1];[7, 0];85;32;527;32; C#6 G#1;7;A
125,625;[0, 1];[7, 8];[6, 7];79;32;528;32; G5 G#1;7;A
125,75;[0, 4];[4, 8];[3, 7];76;32;529;32; E5 G#1;7;A
125,875;[0, 5];[8, 1];[7, 0];73;32;530;32; C#5 G#1;7;A
126;[0, 4];[8, 0];[7, 11];84;32;531;32; C6 G#1;7;A
126,125;[0, 1];[7, 8];[6, 7];79;32;532;32; G5 G#1;7;A
126,25;[0, 4];[4, 8];[3, 7];76;32;533;32; E5 G#1;7;A
126,375;[0, 4];[8, 0];[7, 11];72;32;534;32; C5 G#1;7;A
126,5;[0, 5];[8, 1];[7, 0];73;32;535;32; C#5 G#1;7;A
126,625;[0, 1];[7, 8];[6, 7];67;32;536;32; G4 G#1;7;A
126,75;[0, 4];[4, 8];[3, 7];64;32;537;32; E4 G#1;7;A
126,875;[0, 5];[8, 1];[7, 0];61;32;538;32; C#4 G#1;7;A
127;[0, 3, 4, 6, 8];[4, 7, 8, 10, 0];[3, 6, 7, 9, 11];72;32;539;32; E4 G4 B-4 C5 C4 B-3 G#1;7;A
127,375;[0, 2, 5, 7, 8];[1, 3, 6, 8, 9];[0, 2, 5, 7, 8];73;32;540;32; E-4 F#4 A4 C#5 C#4 A3 G#1;7;A
127,625;[0, 1, 2, 4, 5, 7, 8, 9];[1, 2, 3, 5, 6, 8, 9, 10];[0, 1, 2, 4, 5, 7, 8, 9];73;32;541;32; D4 F4 G#4 B-4 E-4 F#4 A4 C#5 B-3 G#3 G#1 C#4 A3;7;A
127,75;[0, 3, 6, 8];[2, 5, 8, 10];[1, 4, 7, 9];70;32;542;32; D4 F4 G#4 B-4 G#1 B-3 G#3;7;A
128;[0, 1, 3, 5, 6, 9];[7, 8, 10, 0, 1, 4];[6, 7, 9, 11, 0, 3];72;32;543;32; C#4 E4 G4 C5 G3 G#1 B-3;8;T
128,5;[0, 1, 3, 5, 6, 9];[7, 8, 10, 0, 1, 4];[6, 7, 9, 11, 0, 3];72;32;544;32; C#4 E4 G4 C5 G#1 B-3 G3;8;T
129;[0, 4];[8, 0];[7, 11];96;32;545;33; C7 G#1;8;T
129,125;[0, 1];[7, 8];[6, 7];91;32;546;33; G6 G#1;8;T
129,25;[0, 4];[4, 8];[3, 7];88;32;547;33; E6 G#1;8;T
129,375;[0, 4];[8, 0];[7, 11];84;32;548;33; C6 G#1;8;T
129,5;[0, 5];[8, 1];[7, 0];85;32;549;33; C#6 G#1;8;T
129,625;[0, 1];[7, 8];[6, 7];79;32;550;33; G5 G#1;8;T
129,75;[0, 4];[4, 8];[3, 7];76;32;551;33; E5 G#1;8;T
129,875;[0, 5];[8, 1];[7, 0];73;32;552;33; C#5 G#1;8;T
130;[0, 4];[8, 0];[7, 11];84;32;553;33; C6 G#1;8;T
130,125;[0, 1];[7, 8];[6, 7];79;32;554;33; G5 G#1;8;T
130,25;[0, 4];[4, 8];[3, 7];76;32;555;33; E5 G#1;8;T
130,375;[0, 4];[8, 0];[7, 11];72;32;556;33; C5 G#1;8;T
130,5;[0, 5];[8, 1];[7, 0];73;32;557;33; C#5 G#1;8;T
130,625;[0, 1];[7, 8];[6, 7];67;32;558;33; G4 G#1;8;T
130,75;[0, 4];[4, 8];[3, 7];64;32;559;33; E4 G#1;8;T
130,875;[0, 5];[8, 1];[7, 0];61;32;560;33; C#4 G#1;8;T
131;[0, 4];[8, 0];[7, 11];60;32;561;33; C4 G#1;8;T
131,375;[0, 5];[8, 1];[7, 0];61;32;562;33; C#4 G#1;8;T
131,625;[0, 2, 5];[8, 10, 1];[7, 9, 0];61;32;563;33; B-3 C#4 G#1;8;T
131,75;[0, 2];[8, 10];[7, 9];58;32;564;33; B-3 G#1;8;T
132,5;[0, 2];[8, 10];[7, 9];58;32;565;33; B-3 G#1;8;T
133;[0, 4];[8, 0];[7, 11];96;32;566;34; C7 G#1;8;T
133,125;[0, 1];[7, 8];[6, 7];91;32;567;34; G6 G#1;8;T
133,25;[0, 4];[4, 8];[3, 7];88;32;568;34; E6 G#1;8;T
133,375;[0, 4];[8, 0];[7, 11];84;32;569;34; C6 G#1;8;T
133,5;[0, 5];[8, 1];[7, 0];85;32;570;34; C#6 G#1;8;T
133,625;[0, 1];[7, 8];[6, 7];79;32;571;34; G5 G#1;8;T
133,75;[0, 4];[4, 8];[3, 7];76;32;572;34; E5 G#1;8;T
133,875;[0, 5];[8, 1];[7, 0];73;32;573;34; C#5 G#1;8;T
134;[0, 4];[8, 0];[7, 11];84;32;574;34; C6 G#1;8;T
134,125;[0, 1];[7, 8];[6, 7];79;32;575;34; G5 G#1;8;T
134,25;[0, 4];[4, 8];[3, 7];76;32;576;34; E5 G#1;8;T
134,375;[0, 4];[8, 0];[7, 11];72;32;577;34; C5 G#1;8;T
134,5;[0, 5];[8, 1];[7, 0];73;32;578;34; C#5 G#1;8;T
134,625;[0, 1];[7, 8];[6, 7];67;32;579;34; G4 G#1;8;T
134,75;[0, 4];[4, 8];[3, 7];64;32;580;34; E4 G#1;8;T
134,875;[0, 5];[8, 1];[7, 0];61;32;581;34; C#4 G#1;8;T
135;[0, 4];[8, 0];[7, 11];60;32;582;34; C4 G#1;8;T
135,25;[0, 4];[8, 0];[7, 11];60;32;583;34; C4 G#1;8;T
135,375;[0, 5];[8, 1];[7, 0];61;32;584;34; C#4 G#1;8;T
135,625;[0, 2, 5];[8, 10, 1];[7, 9, 0];61;32;585;34; B-3 C#4 G#1;8;T
135,75;[0, 2];[8, 10];[7, 9];58;32;586;34; B-3 G#1;8;T
136;[0, 2];[8, 10];[7, 9];58;32;587;35; B-3 G#1;8;T
138;[0, 4];[8, 0];[7, 11];60;32;588;35; C4 G#1;8;T
139;[0, 5];[8, 1];[7, 0];61;32;589;35; C#4 G#1;8;T
140;[0, 2];[8, 10];[7, 9];58;32;590;35; B-3 G#1;8;T
141;[0];[8];[7];44;44;591;36; G#2;8;T
141,5;[0, 2];[6, 8];[5, 7];54;44;592;36; F#3 G#2;8;T
141,625;[0, 2];[8, 10];[7, 9];58;44;593;36; B-3 G#2;8;T
141,75;[0];[8];[7];44;44;594;36; G#2;8;T
141,875;[0, 5];[8, 1];[7, 0];61;44;595;36; C#4 G#2;8;T
142;[0, 5];[8, 1];[7, 0];68;37;596;36; G#4 C#2 G#2;8;T
142,125;[0, 4, 7];[1, 5, 8];[0, 4, 7];65;37;597;36; F4 G#2 C#2;8;T
142,25;[0, 5];[8, 1];[7, 0];44;37;598;36; G#2 C#2;8;T
142,375;[0, 4, 5];[8, 0, 1];[7, 11, 0];60;37;599;36; C4 G#2 C#2;8;T
142,5;[0, 2, 5];[8, 10, 1];[7, 9, 0];58;37;600;36; B-3 G#2 C#2;8;T
142,625;[0, 5];[8, 1];[7, 0];61;37;601;36; C#4 G#2 C#2;8;T
142,75;[0, 5];[8, 1];[7, 0];44;37;602;36; G#2 C#2;8;T
142,875;[0, 2, 7];[1, 3, 8];[0, 2, 7];63;37;603;36; E-4 G#2 C#2;8;T
143;[0, 5];[8, 1];[7, 0];68;37;604;36; G#4 C#2;8;T
143,5;[0, 2, 7];[6, 8, 1];[5, 7, 0];68;37;605;36; F#4 G#4 C#2;8;T
143,625;[0, 2, 5];[8, 10, 1];[7, 9, 0];70;37;606;36; B-4 G#4 C#2;8;T
143,75;[0, 5];[8, 1];[7, 0];68;37;607;36; G#4 C#2;8;T
143,875;[0, 5];[8, 1];[7, 0];73;37;608;36; C#5 G#4 C#2;8;T
144;[0, 5];[8, 1];[7, 0];80;37;609;36; G#5 G#4 C#2;8;T
144,125;[0, 4, 7];[1, 5, 8];[0, 4, 7];77;37;610;36; F5 G#4 C#2;8;T
144,25;[0, 5];[8, 1];[7, 0];68;37;611;36; G#4 C#2;8;T
144,375;[0, 4, 5];[8, 0, 1];[7, 11, 0];72;37;612;36; C5 G#4 C#2;8;T
144,5;[0, 2, 5];[8, 10, 1];[7, 9, 0];70;37;613;36; B-4 G#4 C#2;8;T
144,625;[0, 5];[8, 1];[7, 0];73;37;614;36; C#5 G#4 C#2;8;T
144,75;[0, 5];[8, 1];[7, 0];68;37;615;36; G#4 C#2;8;T
144,875;[0, 2, 7];[1, 3, 8];[0, 2, 7];75;37;616;36; E-5 G#4 C#2;8;T
145;[0];[5];[4];65;65;617;37; F4;8;T
145,5;[0, 1];[5, 6];[4, 5];78;65;618;37; F#5 F4;8;T
145,625;[0, 5];[5, 10];[4, 9];82;65;619;37; B-5 F4;8;T
145,75;[0];[5];[4];65;65;620;37; F4;8;T
145,875;[0, 4];[1, 5];[0, 4];85;65;621;37; C#6 F4;8;T
146;[0, 3];[5, 8];[4, 7];92;65;622;37; G#6 F4;8;T
146,125;[0];[5];[4];89;65;623;37; F6 F4;8;T
146,25;[0];[5];[4];65;65;624;37; F4;8;T
146,375;[0, 5];[0, 5];[11, 4];84;65;625;37; C6 F4;8;T
146,5;[0, 5];[5, 10];[4, 9];82;65;626;37; B-5 F4;8;T
146,625;[0, 4];[1, 5];[0, 4];85;65;627;37; C#6 F4;8;T
146,75;[0];[5];[4];65;65;628;37; F4;8;T
146,875;[0, 2];[3, 5];[2, 4];87;65;629;37; E-6 F4;8;T
147;[0];[3];[2];63;63;630;37; E-4;8;T
147,5;[0];[3];[2];75;63;631;37; E-5 E-4;8;T
147,625;[0, 2];[1, 3];[0, 2];73;63;632;37; C#5 E-4;8;T
147,75;[0];[3];[2];63;63;633;37; E-4;9;Dt
147,875;[0, 5];[10, 3];[9, 2];70;63;634;37; B-4 E-4;9;Dt
148;[0, 5];[3, 8];[2, 7];68;63;635;37; G#4 E-4;9;Dt
148,125;[0, 2];[3, 5];[2, 4];65;63;636;37; F4 E-4;9;Dt
148,25;[0];[3];[2];63;63;637;37; E-4;9;Dt
148,375;[0, 3];[0, 3];[11, 2];63;60;638;37; C4 E-4;9;Dt
148,5;[0, 5];[3, 8];[2, 7];63;44;639;37; E-4 G#2;9;Dt
148,625;[0, 2, 7];[1, 3, 8];[0, 2, 7];63;44;640;37; C#4 E-4 G#2;9;Dt
148,75;[0, 2, 7];[8, 10, 3];[7, 9, 2];63;44;641;37; B-3 E-4 G#2;9;Dt
148,875;[0, 3, 5];[3, 6, 8];[2, 5, 7];63;44;642;37; F#3 E-4 G#2;9;Dt
149;[0, 5];[8, 1];[7, 0];44;37;643;38; C#2 G#2;9;Dt
149,5;[0, 4, 7];[1, 5, 8];[0, 4, 7];53;37;644;38; F3 C#2 G#2;9;Dt
149,625;[0, 5];[8, 1];[7, 0];56;37;645;38; G#3 C#2 G#2;9;Dt
149,75;[0, 5];[8, 1];[7, 0];44;37;646;38; C#2 G#2;9;Dt
149,875;[0, 2, 7];[1, 3, 8];[0, 2, 7];63;37;647;38; E-4 C#2 G#2;9;Dt
150;[0, 2, 5];[8, 10, 1];[7, 9, 0];70;37;648;38; B-4 C#2 G#2;9;Dt
150,125;[0, 4, 7];[1, 5, 8];[0, 4, 7];65;37;649;38; F4 C#2 G#2;9;Dt
150,25;[0, 5];[8, 1];[7, 0];44;37;650;38; C#2 G#2;9;Dt
150,375;[0, 5];[8, 1];[7, 0];61;37;651;38; C#4 C#2 G#2;9;Dt
150,5;[0, 4, 5];[8, 0, 1];[7, 11, 0];60;37;652;38; C4 C#2 G#2;9;Dt
150,625;[0, 2, 7];[1, 3, 8];[0, 2, 7];63;37;653;38; E-4 C#2 G#2;9;Dt
150,75;[0, 5];[8, 1];[7, 0];44;37;654;38; C#2 G#2;9;Dt
150,875;[0, 4, 7];[1, 5, 8];[0, 4, 7];65;37;655;38; F4 C#2 G#2;9;Dt
151;[0, 3, 7];[10, 1, 5];[9, 0, 4];65;58;656;38; B-3 C#4 F4;9;Dt
151,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];65;58;657;38; F4 B-3 C#4;9;Dt
151,625;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];68;58;658;38; G#4 B-3 C#4 F4;9;Dt
151,75;[0, 3, 7];[10, 1, 5];[9, 0, 4];65;58;659;38; B-3 C#4 F4;9;Dt
151,875;[0, 3, 5, 7];[10, 1, 3, 5];[9, 0, 2, 4];75;58;660;38; E-5 B-3 C#4 F4;9;Dt
152;[0];[10];[9];82;82;661;38; B-5;9;Dt
152,125;[0];[5];[4];77;77;662;38; F5;9;Dt
152,375;[0];[1];[0];73;73;663;38; C#5;9;Dt
152,5;[0];[0];[11];72;72;664;38; C5;9;Dt
152,625;[0];[3];[2];75;75;665;38; E-5;9;Dt
152,875;[0];[5];[4];77;77;666;38; F5;9;Dt
153;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;667;39; B-4 C#5 F5;9;Dt
153,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;668;39; F5 B-4 C#5;9;Dt
153,625;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];80;70;669;39; G#5 B-4 C#5 F5;9;Dt
153,75;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;670;39; B-4 C#5 F5;9;Dt
153,875;[0, 3, 5, 7];[10, 1, 3, 5];[9, 0, 2, 4];87;70;671;39; E-6 B-4 C#5 F5;9;Dt
154;[0];[10];[9];94;94;672;39; B-6;9;Dt
154,125;[0];[5];[4];89;89;673;39; F6;9;Dt
154,375;[0];[1];[0];85;85;674;39; C#6;9;Dt
154,5;[0];[0];[11];84;84;675;39; C6;9;Dt
154,625;[0];[3];[2];87;87;676;39; E-6;9;Dt
154,875;[0];[5];[4];89;89;677;39; F6;9;Dt
155,125;[0, 4];[1, 5];[0, 4];89;85;678;39; C#6 F6;9;Dt
155,375;[0];[10];[9];82;82;679;39; B-5;9;Dt
155,5;[0];[1];[0];85;85;680;39; C#6;9;Dt
155,625;[0];[10];[9];82;82;681;39; B-5;9;Dt
155,875;[0];[5];[4];77;77;682;39; F5;9;Dt
156;[0];[10];[9];82;82;683;39; B-5;9;Dt
156,125;[0];[5];[4];77;77;684;39; F5;9;Dt
156,375;[0];[1];[0];73;73;685;39; C#5;9;Dt
156,5;[0];[5];[4];77;77;686;39; F5;9;Dt
156,625;[0];[1];[0];73;73;687;39; C#5;9;Dt
156,875;[0];[10];[9];70;70;688;39; B-4;9;Dt
157;[0];[8];[7];44;44;689;40; G#2;9;Dt
157,5;[0, 2];[6, 8];[5, 7];54;44;690;40; F#3 G#2;9;Dt
157,625;[0, 2];[8, 10];[7, 9];58;44;691;40; B-3 G#2;9;Dt
157,75;[0];[8];[7];44;44;692;40; G#2;9;Dt
157,875;[0, 5];[8, 1];[7, 0];61;44;693;40; C#4 G#2;9;Dt
158;[0, 5];[8, 1];[7, 0];68;37;694;40; G#4 C#2 G#2;9;Dt
158,125;[0, 4, 7];[1, 5, 8];[0, 4, 7];65;37;695;40; F4 G#2 C#2;9;Dt
158,25;[0, 5];[8, 1];[7, 0];44;37;696;40; G#2 C#2;9;Dt
158,375;[0, 4, 5];[8, 0, 1];[7, 11, 0];60;37;697;40; C4 G#2 C#2;9;Dt
158,5;[0, 2, 5];[8, 10, 1];[7, 9, 0];58;37;698;40; B-3 G#2 C#2;9;Dt
158,625;[0, 5];[8, 1];[7, 0];61;37;699;40; C#4 G#2 C#2;9;Dt
158,75;[0, 5];[8, 1];[7, 0];44;37;700;40; G#2 C#2;9;Dt
158,875;[0, 2, 7];[1, 3, 8];[0, 2, 7];63;37;701;40; E-4 G#2 C#2;9;Dt
159;[0, 5];[8, 1];[7, 0];68;37;702;40; G#4 C#2;9;Dt
159,5;[0, 2, 7];[6, 8, 1];[5, 7, 0];68;37;703;40; F#4 G#4 C#2;9;Dt
159,625;[0, 2, 5];[8, 10, 1];[7, 9, 0];70;37;704;40; B-4 G#4 C#2;9;Dt
159,75;[0, 5];[8, 1];[7, 0];68;37;705;40; G#4 C#2;9;Dt
159,875;[0, 5];[8, 1];[7, 0];73;37;706;40; C#5 G#4 C#2;9;Dt
160;[0, 5];[8, 1];[7, 0];80;37;707;40; G#5 G#4 C#2;9;Dt
160,125;[0, 4, 7];[1, 5, 8];[0, 4, 7];77;37;708;40; F5 G#4 C#2;9;Dt
160,25;[0, 5];[8, 1];[7, 0];68;37;709;40; G#4 C#2;9;Dt
160,375;[0, 4, 5];[8, 0, 1];[7, 11, 0];72;37;710;40; C5 G#4 C#2;9;Dt
160,5;[0, 2, 5];[8, 10, 1];[7, 9, 0];70;37;711;40; B-4 G#4 C#2;9;Dt
160,625;[0, 5];[8, 1];[7, 0];73;37;712;40; C#5 G#4 C#2;9;Dt
160,75;[0, 5];[8, 1];[7, 0];68;37;713;40; G#4 C#2;9;Dt
160,875;[0, 2, 7];[1, 3, 8];[0, 2, 7];75;37;714;40; E-5 G#4 C#2;9;Dt
161;[0];[5];[4];65;65;715;41; F4;9;Dt
161,5;[0, 1];[5, 6];[4, 5];78;65;716;41; F#5 F4;9;Dt
161,625;[0, 5];[5, 10];[4, 9];82;65;717;41; B-5 F4;9;Dt
161,75;[0];[5];[4];65;65;718;41; F4;9;Dt
161,875;[0, 4];[1, 5];[0, 4];85;65;719;41; C#6 F4;9;Dt
162;[0, 3];[5, 8];[4, 7];92;65;720;41; G#6 F4;9;Dt
162,125;[0];[5];[4];89;65;721;41; F6 F4;9;Dt
162,25;[0];[5];[4];65;65;722;41; F4;9;Dt
162,375;[0, 5];[0, 5];[11, 4];84;65;723;41; C6 F4;9;Dt
162,5;[0, 5];[5, 10];[4, 9];82;65;724;41; B-5 F4;9;Dt
162,625;[0, 4];[1, 5];[0, 4];85;65;725;41; C#6 F4;9;Dt
162,75;[0];[5];[4];65;65;726;41; F4;9;Dt
162,875;[0, 2];[3, 5];[2, 4];87;65;727;41; E-6 F4;9;Dt
163;[0];[3];[2];63;63;728;41; E-4;9;Dt
163,5;[0];[3];[2];75;63;729;41; E-5 E-4;9;Dt
163,625;[0, 2];[1, 3];[0, 2];73;63;730;41; C#5 E-4;9;Dt
163,75;[0];[3];[2];63;63;731;41; E-4;10;A
163,875;[0, 5];[10, 3];[9, 2];70;63;732;41; B-4 E-4;10;A
164;[0, 5];[3, 8];[2, 7];68;63;733;41; G#4 E-4;10;A
164,125;[0, 2];[3, 5];[2, 4];65;63;734;41; F4 E-4;10;A
164,25;[0];[3];[2];63;63;735;41; E-4;10;A
164,375;[0, 3];[0, 3];[11, 2];63;60;736;41; C4 E-4;10;A
164,5;[0, 5];[3, 8];[2, 7];63;44;737;41; E-4 G#2;10;A
164,625;[0, 2, 7];[1, 3, 8];[0, 2, 7];63;44;738;41; C#4 E-4 G#2;10;A
164,75;[0, 2, 7];[8, 10, 3];[7, 9, 2];63;44;739;41; B-3 E-4 G#2;10;A
164,875;[0, 3, 5];[3, 6, 8];[2, 5, 7];63;44;740;41; F#3 E-4 G#2;10;A
165;[0, 5];[8, 1];[7, 0];44;37;741;42; C#2 G#2;10;A
165,5;[0, 4, 7];[1, 5, 8];[0, 4, 7];53;37;742;42; F3 C#2 G#2;10;A
165,625;[0, 5];[8, 1];[7, 0];56;37;743;42; G#3 C#2 G#2;10;A
165,75;[0, 5];[8, 1];[7, 0];44;37;744;42; C#2 G#2;10;A
165,875;[0, 2, 7];[1, 3, 8];[0, 2, 7];63;37;745;42; E-4 C#2 G#2;10;A
166;[0, 2, 5];[8, 10, 1];[7, 9, 0];70;37;746;42; B-4 C#2 G#2;10;A
166,125;[0, 4, 7];[1, 5, 8];[0, 4, 7];65;37;747;42; F4 C#2 G#2;10;A
166,25;[0, 5];[8, 1];[7, 0];44;37;748;42; C#2 G#2;10;A
166,375;[0, 5];[8, 1];[7, 0];61;37;749;42; C#4 C#2 G#2;10;A
166,5;[0, 4, 5];[8, 0, 1];[7, 11, 0];60;37;750;42; C4 C#2 G#2;10;A
166,625;[0, 2, 7];[1, 3, 8];[0, 2, 7];63;37;751;42; E-4 C#2 G#2;10;A
166,75;[0, 5];[8, 1];[7, 0];44;37;752;42; C#2 G#2;10;A
166,875;[0, 4, 7];[1, 5, 8];[0, 4, 7];65;37;753;42; F4 C#2 G#2;10;A
167;[0, 3, 7];[10, 1, 5];[9, 0, 4];65;58;754;42; B-3 C#4 F4;10;A
167,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];65;58;755;42; F4 B-3 C#4;10;A
167,625;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];68;58;756;42; G#4 B-3 C#4 F4;10;A
167,75;[0, 3, 7];[10, 1, 5];[9, 0, 4];65;58;757;42; B-3 C#4 F4;10;A
167,875;[0, 3, 5, 7];[10, 1, 3, 5];[9, 0, 2, 4];75;58;758;42; E-5 B-3 C#4 F4;10;A
168;[0];[10];[9];82;82;759;42; B-5;10;A
168,125;[0];[5];[4];77;77;760;42; F5;10;A
168,375;[0];[1];[0];73;73;761;42; C#5;10;A
168,5;[0];[0];[11];72;72;762;42; C5;10;A
168,625;[0];[3];[2];75;75;763;42; E-5;10;A
168,875;[0];[5];[4];77;77;764;42; F5;10;A
169;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;765;43; B-4 C#5 F5;10;A
169,5;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;766;43; F5 B-4 C#5;10;A
169,625;[0, 3, 5, 8];[5, 8, 10, 1];[4, 7, 9, 0];80;70;767;43; G#5 B-4 C#5 F5;10;A
169,75;[0, 3, 7];[10, 1, 5];[9, 0, 4];77;70;768;43; B-4 C#5 F5;10;A
169,875;[0, 3, 5, 7];[10, 1, 3, 5];[9, 0, 2, 4];87;70;769;43; E-6 B-4 C#5 F5;10;A
170;[0];[10];[9];94;94;770;43; B-6;10;A
170,125;[0];[5];[4];89;89;771;43; F6;10;A
170,375;[0];[1];[0];85;85;772;43; C#6;10;A
170,5;[0];[0];[11];84;84;773;43; C6;10;A
170,625;[0];[3];[2];87;87;774;43; E-6;10;A
170,875;[0];[5];[4];89;89;775;43; F6;10;A
171,125;[0, 4];[1, 5];[0, 4];89;85;776;43; C#6 F6;10;A
171,375;[0];[10];[9];82;82;777;43; B-5;10;A
171,5;[0];[1];[0];85;85;778;43; C#6;10;A
171,625;[0];[10];[9];82;82;779;43; B-5;10;A
171,875;[0];[5];[4];77;77;780;43; F5;10;A
172;[0];[10];[9];82;82;781;43; B-5;10;A
172,125;[0];[5];[4];77;77;782;43; F5;10;A
172,375;[0];[1];[0];73;73;783;43; C#5;10;A
172,5;[0];[5];[4];77;77;784;43; F5;10;A
172,625;[0];[1];[0];73;73;785;43; C#5;10;A
172,875;[0];[10];[9];70;70;786;43; B-4;10;A
173;[0, 2];[5, 7];[4, 6];77;31;787;44; F5 G1 G2;10;A
173,125;[0, 6];[1, 7];[0, 6];73;31;788;44; C#5 G1 G2;10;A
173,25;[0];[7];[6];43;31;789;44; G1 G2;10;A
173,375;[0, 3];[7, 10];[6, 9];70;31;790;44; B-4 G1 G2;10;A
173,5;[0, 6];[1, 7];[0, 6];73;31;791;44; C#5 G1 G2;10;A
