Rank;From;To;Count;Frequency;Cumulative Frequency;Log Rank;Log Frequency
1;T;DT;711.0;35.163205;35.163205;0.000000;3.560000
2;DT;T;710.0;35.113749;70.276954;0.693147;3.558593
3;DT;A;93.0;4.599407;74.876360;1.098612;1.525927
4;A;DT;86.0;4.253215;79.129575;1.386294;1.447675
5;A;T;73.0;3.610287;82.739862;1.609438;1.283787
6;T;A;73.0;3.610287;86.350148;1.791759;1.283787
7;C;DT;66.0;3.264095;89.614243;1.945910;1.182983
8;DT;C;62.0;3.066271;92.680514;2.079442;1.120462
9;O;T;28.0;1.384768;94.065282;2.197225;0.325532
10;T;O;27.0;1.335312;95.400593;2.302585;0.289165
11;O;DT;20.0;0.989120;96.389713;2.397895;-0.010940
12;T;C;18.0;0.890208;97.279921;2.484907;-0.116300
13;C;T;16.0;0.791296;98.071217;2.564949;-0.234083
14;DT;O;15.0;0.741840;98.813056;2.639057;-0.298622
15;A;O;7.0;0.346192;99.159248;2.708050;-1.060762
16;A;C;5.0;0.247280;99.406528;2.772589;-1.397234
17;C;A;3.0;0.148368;99.554896;2.833213;-1.908060
18;DT;WT;3.0;0.148368;99.703264;2.890372;-1.908060
19;DT;D;1.0;0.049456;99.752720;2.944439;-3.006672
20;WT;A;1.0;0.049456;99.802176;2.995732;-3.006672
21;O;A;1.0;0.049456;99.851632;3.044522;-3.006672
22;D;T;1.0;0.049456;99.901088;3.091042;-3.006672
23;WT;T;1.0;0.049456;99.950544;3.135494;-3.006672
24;WT;DT;1.0;0.049456;100.000000;3.178054;-3.006672